자아, 67, 145
카타, 78, 146
카다, 67, 174
가하, 93, 172
아바, 43, 172
마다, 51, 159
파마, 44, 144
마사, 46, 157
가아, 71, 156
라아, 54, 166
타바, 63, 148
라차, 40, 149
하마, 98, 175
나라, 90, 167
타차, 99, 159
아나, 43, 152
다하, 50, 162
카사, 59, 181
자가, 43, 164
아아, 68, 176
타라, 97, 158
마카, 45, 162
나나, 52, 187
카아, 95, 155
사하, 98, 147
하나, 55, 140
가아, 82, 183
차하, 75, 169
가마, 75, 147
차마, 62, 157
아아, 67, 154
마가, 69, 141
바차, 43, 166
차카, 42, 177
파라, 48, 158
파가, 65, 187
바바, 87, 184
사하, 80, 186
라마, 55, 162
아나, 94, 175
자가, 68, 147
자다, 49, 145
카라, 69, 178
바자, 85, 183
가나, 88, 183
자다, 44, 179
나카, 57, 152
나아, 94, 188
타타, 42, 161
파사, 41, 147
라카, 85, 185
카나, 84, 143
타파, 42, 160
바하, 56, 189
카하, 64, 175
카라, 73, 152
사마, 67, 162
사파, 72, 169
차바, 88, 153
타마, 49, 144
가자, 75, 169
카타, 61, 174
다마, 86, 171
파자, 44, 178
라다, 54, 171
라라, 78, 140
나타, 88, 144
다타, 63, 188
차하, 69, 149
차마, 68, 155
라파, 46, 186
나마, 95, 168
다다, 58, 168
아라, 96, 143
파아, 50, 166
차타, 49, 168
사아, 79, 168
타타, 84, 143
카사, 44, 179
타타, 89, 183
자자, 92, 179
카마, 89, 170
하바, 64, 185
차마, 82, 166
나하, 79, 146
자카, 69, 175
다파, 49, 162
아하, 67, 187
파사, 49, 188
다파, 71, 173
나차, 40, 156
가가, 62, 141
나다, 63, 157
아바, 84, 182
차차, 91, 178
나파, 56, 146
파사, 59, 152
카가, 93, 186
아사, 93, 145
아마, 81, 175
가아, 59, 140
하카, 70, 149
자자, 61, 189
가라, 83, 178
차아, 80, 189
하타, 40, 180
바가, 50, 154
파자, 51, 170
아타, 42, 166
가차, 87, 167
가다, 90, 140
가가, 61, 144
차나, 41, 165
파마, 94, 146
카다, 81, 144
라카, 68, 146
파하, 96, 150
가마, 86, 175
사바, 75, 181
타사, 58, 183
하자, 51, 185
파카, 75, 156
마카, 63, 177
라차, 57, 189
카가, 96, 141
차다, 78, 175
다하, 54, 172
마차, 66, 158
자나, 74, 178
라가, 79, 187
바가, 67, 140
다바, 67, 148
파나, 83, 174
타파, 66, 145
가파, 48, 158
나마, 95, 161
바카, 66, 173
나타, 73, 178
나하, 71, 175
파카, 96, 153
마파, 61, 151
아자, 51, 170
하다, 50, 180
아가, 61, 154
마카, 42, 151
사자, 93, 165
